# warthog xy Energy graph 
# this file is formatted as follows: [header data] [node data] [edge data] 
# header format: nodes [number of nodes] edges [number of edges]  
# node data format: v [id] [x] [y] [elevation] 
# edge data format: e [from_node_id] [to_node_id] [length] [10 x height_gain] [popularity] [street_width] 
# 
# 32bit integer values are used throughout. 
# Identifiers are all zero indexed. 
# 
nodes 16516 edges 33111 objectives 4
v 696 2.2152372 48.73524 83
v 697 2.2153948 48.7348792 83
v 698 2.2118821 48.732608 89
v 699 2.2098811 48.7344952 93
v 700 2.2100738 48.7350074 96
v 701 2.207619 48.7342929 107
v 702 2.2067598 48.734207 109
v 703 2.20611 48.734286 105
v 704 2.204976 48.7343226 100
v 705 2.2013937 48.7339145 103
v 706 2.2022571 48.7331119 103
v 707 2.2030844 48.7332244 100
v 708 2.2045798 48.7336829 97
v 709 2.2009139 48.7329655 110
v 710 2.1976245 48.7331245 123
v 711 2.2030532 48.733319 101
v 712 2.20353 48.733731 101
v 713 2.2008677 48.7340651 104
v 714 2.2044486 48.7345753 102
v 715 2.2063127 48.732385 92
v 716 2.2051148 48.7317521 98
v 717 2.1683748 48.7666021 97
v 718 2.1676175 48.7656853 89
v 719 2.1691813 48.7654322 90
v 720 2.1676764 48.7660751 91
v 721 2.1689966 48.76602 91
v 722 2.1808216 48.6996769 58
v 723 2.1813425 48.699928 58
v 724 2.1825747 48.7001498 59
v 725 2.1859819 48.7008217 58
v 726 2.1863134 48.7021324 76
v 727 2.1839145 48.7024293 81
v 728 2.1841116 48.7034341 90
v 729 2.184694 48.702459 82
v 730 2.1848882 48.7034665 90
v 731 2.1836964 48.7010544 68
v 732 2.1849552 48.7009297 61
v 733 2.1845551 48.7014851 70
v 734 2.1812743 48.6989415 62
v 735 2.1822267 48.698094 72
v 736 2.1808199 48.6994983 58
v 737 2.1793041 48.6992496 59
v 738 2.1831755 48.6980141 73
v 739 2.1795393 48.69918 60
v 740 2.1819386 48.6982344 70
v 741 2.1794141 48.6979887 63
v 742 2.1849021 48.6988221 65
v 743 2.1872199 48.7003666 57
