# u_old  v_old  key  u_xy  v_xy
267223059 267223194 0 7519 7520
267223194 267223059 0 7520 7519
267223194 267223401 0 7520 7522
267223401 267223194 0 7522 7520
267225469 267225470 0 7526 7527
267225470 267225469 0 7527 7526
267225726 267225727 0 7528 7529
267225727 267225726 0 7529 7528
267226357 267223418 0 7531 7524
267234035 311373994 0 7534 9193
267234035 241491022 0 7534 5058
267234092 267234093 0 7536 7537
267254163 267255205 0 7542 7543
267255205 267254163 0 7543 7542
267319446 267319447 0 7549 7550
267319448 267319450 0 7551 7552
268398941 268398944 0 7575 7576
268398948 3247052682 0 7579 18839
268400045 268401480 0 7593 7654
268400765 268400838 0 7617 7620
268400838 268400809 0 7620 7619
268400838 268400765 0 7620 7617
268400840 268400853 0 7621 7622
268400840 280737061 0 7621 7904
268401021 39861004 0 7630 690
268401021 268401390 0 7630 7650
268401385 268401381 0 7649 7648
268401390 268401021 0 7650 7630
268401473 268401480 0 7653 7654
268401480 268400045 0 7654 7593
268401580 39858293 0 7666 683
268401757 268401552 0 7680 7662
268403571 6862869363 0 7696 20819
268813482 7466798730 0 7705 20997
269306713 229192565 0 7726 4695
269306714 303981569 0 7727 8921
270189831 271195305 0 7740 7755
270189831 270189833 0 7740 7741
270189833 270189831 0 7741 7740
271195623 271195305 0 7756 7755
276691535 1037363300 0 7822 13684
276731211 267039703 0 7832 7462
276973214 267040035 0 7835 7467
277426918 267040030 0 7841 7465
277426919 268401402 0 7842 7651
277562319 248790771 0 7846 6267
277569003 10213493769 0 7850 21753
277762528 975538996 0 7855 13507
277762543 277762544 0 7860 7861
277762544 277762543 0 7861 7860
279192316 1602492378 0 7871 15220
279192316 1434490478 0 7871 14629
279361157 2902270106 0 7874 18605
279361157 1434490527 0 7874 14630
280542537 8911994038 0 7882 21397
280698687 1998483318 0 7890 17024
280733476 280947647 0 7901 7912
280733476 178732133 0 7901 2667
280737061 268400840 0 7904 7621
280739261 11959025390 0 7905 22225
280947647 280733476 0 7912 7901
280948564 2126706731 0 7916 17121
280948701 280737061 0 7918 7904
280951075 975538932 0 7925 13504
281675747 125382546 0 7933 1461
282842788 253360820 0 7961 6749
282842788 2282401661 0 7961 17537
282895331 282906360 0 7977 7990
282906178 282906184 0 7987 7989
282906178 282906180 0 7987 7988
282906180 282711553 0 7988 7959
282906184 282906963 0 7989 7996
282906360 282895331 0 7990 7977
282906384 282906472 0 7992 7993
282906472 282906384 0 7993 7992
282906963 7256018092 0 7996 20949
282910441 286577971 0 7999 8045
283817389 286577960 0 8024 8041
286139981 282892685 0 8033 7970
286141915 446041211 0 8036 10812
286577971 282910441 0 8045 7999
287242098 2474624876 0 8069 18020
288031021 1617058816 0 8081 15300
288566672 288566674 0 8097 8098
288842799 288842805 0 8106 8107
