# old_node_id  xy_node_id  cell_id  hop_distance
363907214 10106 29 3
363843868 10081 29 3
8688579062 21360 29 3
208324023 4197 29 3
208329014 4210 29 3
11243146900 21983 30 3
2456278235 17975 30 3
1387812832 14501 30 3
3994361200 19434 30 3
1298833122 14033 30 3
5176014419 19978 31 3
5176014418 19977 31 3
6837461512 20803 31 3
218154102 4563 31 3
701610960 12649 31 3
1523165324 14944 32 3
1696974113 15598 32 3
199462976 3352 32 3
1235167454 13938 33 3
3085791044 18692 33 3
6477083320 20663 33 3
251673259 6575 33 3
2653006225 18346 33 3
659726000 12330 33 3
112425961 1275 34 3
213928774 4457 34 3
3135794605 18725 34 3
229904086 4751 34 3
229899239 4745 34 3
206332484 3993 35 3
3526351363 19086 35 3
1399341084 14511 35 3
157452862 2250 35 3
206211725 3829 35 3
692194615 12597 35 3
157371911 2241 35 3
206313329 3968 35 3
125400948 1470 36 3
36479827 626 36 3
25701688 127 36 3
24924008 109 36 3
36476556 590 36 3
141942242 1998 37 3
152528919 2166 37 3
530289769 11646 37 3
1562295407 15057 37 3
701611011 12652 37 3
264058760 7440 37 3
141941767 1994 37 3
141942297 2001 37 3
1836073255 16418 38 3
251137294 6429 38 3
1072425981 13752 38 3
1836073125 16403 38 3
416079004 10555 39 3
659727493 12333 39 3
659727587 12336 39 3
9883134873 21633 40 3
308223754 9027 40 3
268401232 7644 40 3
1886113942 16856 40 3
36427530 537 40 3
268401508 7655 40 3
268401203 7640 40 3
3356278276 18905 41 3
201231068 3389 41 3
246116145 5986 42 3
246116141 5983 42 3
1692322420 15574 42 3
290038915 8156 42 3
290039102 8159 42 3
290038375 8134 42 3
9666230532 21556 42 3
290039236 8162 42 3
290039219 8161 42 3
1679469016 15505 42 3
9341085970 21478 43 3
1420747190 14560 43 3
165362380 2348 43 3
257887920 7032 43 3
141586690 1925 44 3
141589282 1927 44 3
1607512761 15250 44 3
116136718 1346 44 3
5843322159 20335 44 3
299518541 8597 45 3
2326238805 17685 45 3
241541268 5069 45 3
10560429580 21806 45 3
251685581 6601 46 3
2139858460 17171 46 3
251745305 6649 46 3
255426088 6899 46 3
3429671610 18981 46 3
208479254 4234 47 3
208325780 4203 47 3
208339697 4219 47 3
208480825 4239 47 3
208339207 4218 47 3
208325776 4201 47 3
208321364 4193 47 3
11364225941 22050 47 3
2384305677 17839 47 3
208344741 4228 47 3
420423182 10608 48 3
2579880468 18221 48 3
206238788 3874 48 3
206240591 3880 48 3
452068772 11094 48 3
139193975 1771 49 3
1457369175 14661 49 3
139119598 1677 49 3
615593555 12096 49 3
139208426 1776 49 3
5201586964 20000 51 3
242184040 5281 51 3
354438957 9977 51 3
1018662037 13595 51 3
1018660843 13593 51 3
1829686671 15964 51 3
258972018 7185 52 3
1834577338 16234 52 3
1348630099 14226 52 3
1348629939 14222 52 3
1348630238 14229 52 3
1348638240 14230 52 3
925953265 13383 52 3
246138691 6001 53 3
246140445 6009 53 3
246140616 6013 53 3
